,a_scan_id,b_sample_name,c_clock,d_pos_x,e_pos_th,f_temperature
0,485364.0,HoP2_NMo11,5080.3860557079315,0.001300000000000523,0.1490625000000002,-273.15
1,485363.0,HoP2_NMo11,5067.341563463211,0.001300000000000523,0.12906250000000064,-273.15
2,485362.0,HoP2_NMo11,5054.359638929367,0.001300000000000523,0.10906250000000106,-273.15
3,485361.0,HoP2_NMo11,5041.350482225418,0.001300000000000523,0.08890624999999985,-127.045
4,485360.0,HoP2_NMo11,5028.276655912399,0.001300000000000523,0.07250000000000056,-127.017
5,485359.0,HoP2_NMo11,5004.310876131058,0.001300000000000523,0.14937499999999992,-127.076
6,485358.0,HoP2_NMo11,4984.328155994415,0.001300000000000523,0.12890625000000078,-273.15
7,485357.0,HoP2_NMo11,4964.312997102737,0.001300000000000523,0.10937500000000078,-273.15
8,485356.0,HoP2_NMo11,4943.557707071304,0.001300000000000523,0.08906249999999971,-273.15
9,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
10,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
11,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
12,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
13,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
14,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
15,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
16,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
17,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
18,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
19,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
20,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
21,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
22,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
23,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
24,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
25,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
26,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
27,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
28,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
29,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
30,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
31,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
32,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
33,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
34,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
35,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
36,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
37,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
38,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
39,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
40,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
41,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
42,485355.0,HoP2_NMo11,4939.717188119888,0.001300000000000523,0.07000000000000106,-127.067
43,485321.0,HoP2_PB16Mo118,4573.270674228668,0.0009000000000014552,0.14906249999999943,-126.995
44,485320.0,HoP2_PB16Mo118,4560.301584720612,0.0009000000000014552,0.12906249999999986,-127.047
45,485319.0,HoP2_PB16Mo118,4547.339517116547,0.0009000000000014552,0.10890624999999865,-127.02
46,485318.0,HoP2_PB16Mo118,4534.2874147892,0.0009000000000014552,0.08937499999999865,-127.015
47,485317.0,HoP2_PB16Mo118,4521.252591609955,0.0009000000000014552,0.07374999999999865,-273.15
48,485316.0,HoP2_PB16Mo118,4497.266323328018,0.0009000000000014552,0.14906249999999943,-273.15
49,485315.0,HoP2_PB16Mo118,4477.281939983368,0.0009000000000014552,0.12906249999999986,-127.025
50,485314.0,HoP2_PB16Mo118,4456.521459817886,0.0009000000000014552,0.10906249999999851,-127.01
51,485313.0,HoP2_PB16Mo118,4436.355677366257,0.0009000000000014552,0.08906249999999893,-273.15
52,485312.0,HoP2_PB16Mo118,4432.521936655045,0.0009000000000014552,0.06671874999999972,-127.037
53,485312.0,HoP2_PB16Mo118,4432.521936655045,0.0009000000000014552,0.06671874999999972,-127.037
54,485312.0,HoP2_PB16Mo118,4432.521936655045,0.0009000000000014552,0.06671874999999972,-127.037
55,485312.0,HoP2_PB16Mo118,4432.521936655045,0.0009000000000014552,0.06671874999999972,-127.037
